Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,Rating
263-67-4662,B,Yangon,Member,Male,Fashion accessories,92.32,8,36.928,775.488,04/29/2025,14:40,Ewallet,7.6
880-35-3208,B,Yangon,Normal,Female,Home and lifestyle,72.47,1,3.6235,76.0935,10/26/2025,08:39,Ewallet,8.7
594-35-0910,A,Mandalay,Normal,Female,Health and beauty,38.52,2,3.852,80.892,10/20/2025,12:29,Ewallet,5.9
650-10-8416,C,Yangon,Normal,Female,Sports and travel,16.9,2,1.69,35.49,05/11/2025,18:00,Ewallet,8.0
413-68-1495,B,Mandalay,Normal,Male,Health and beauty,31.15,8,12.46,261.66,02/27/2025,11:42,Credit card,9.5
197-41-0128,C,Yangon,Normal,Male,Electronic accessories,71.13,6,21.339,448.119,10/05/2025,05:52,Ewallet,6.4
744-10-5751,A,Yangon,Member,Female,Food and beverages,28.89,7,10.1115,212.3415,03/20/2025,03:30,Credit card,6.8
679-75-0081,C,Naypyitaw,Normal,Female,Home and lifestyle,85.04,6,25.512,535.752,12/10/2025,12:19,Credit card,9.2
654-07-7545,A,Mandalay,Member,Male,Sports and travel,75.67,7,26.4845,556.1745,02/27/2025,09:46,Cash,8.3
741-04-5684,C,Naypyitaw,Normal,Female,Electronic accessories,91.26,5,22.815,479.115,02/20/2025,16:52,Credit card,7.4
386-32-6964,B,Mandalay,Member,Male,Electronic accessories,88.51,9,39.8295,836.4195,03/16/2025,09:59,Credit card,9.6
770-64-3075,B,Naypyitaw,Member,Male,Home and lifestyle,68.78,8,27.512,577.752,01/12/2026,13:03,Cash,4.6
648-91-0868,A,Yangon,Normal,Male,Health and beauty,53.31,8,21.324,447.804,01/24/2026,07:00,Cash,4.1
605-38-4458,A,Mandalay,Member,Male,Electronic accessories,66.68,9,30.006,630.126,12/26/2025,07:04,Credit card,8.4
258-40-6606,C,Mandalay,Normal,Male,Food and beverages,23.26,5,5.815,122.115,06/21/2025,11:02,Credit card,5.7
066-14-3269,C,Mandalay,Member,Male,Sports and travel,82.76,6,24.828,521.388,02/11/2025,01:55,Cash,7.8
004-65-3811,B,Yangon,Normal,Female,Fashion accessories,71.13,2,7.113,149.373,09/08/2025,15:27,Cash,5.9
829-58-0829,B,Mandalay,Normal,Male,Electronic accessories,38.06,6,11.418,239.778,07/23/2025,07:26,Credit card,7.0
242-53-1890,A,Yangon,Member,Male,Electronic accessories,80.64,9,36.288,762.048,07/16/2025,04:03,Ewallet,7.2
622-46-2552,A,Mandalay,Member,Male,Health and beauty,35.82,9,16.119,338.499,05/05/2025,12:45,Credit card,4.4
278-00-0978,A,Yangon,Normal,Male,Home and lifestyle,25.54,2,2.554,53.634,12/27/2025,03:16,Cash,5.5
486-89-8200,A,Mandalay,Member,Male,Sports and travel,89.04,2,8.904,186.984,09/10/2025,23:49,Credit card,5.3
722-18-4915,A,Yangon,Member,Male,Fashion accessories,74.4,7,26.04,546.84,09/17/2025,08:17,Credit card,5.6
941-60-0444,C,Yangon,Member,Female,Food and beverages,17.5,10,8.75,183.75,03/11/2025,07:19,Ewallet,5.6
243-60-4933,A,Naypyitaw,Member,Female,Electronic accessories,48.41,6,14.523,304.983,10/27/2025,13:34,Credit card,8.7
637-08-6163,A,Mandalay,Member,Male,Sports and travel,20.91,4,4.182,87.822,06/27/2025,10:20,Ewallet,4.3
918-76-6687,A,Yangon,Member,Male,Electronic accessories,61.78,6,18.534,389.214,05/23/2025,12:28,Ewallet,6.1
398-57-6842,C,Yangon,Member,Female,Health and beauty,42.3,4,8.46,177.66,09/26/2025,22:33,Ewallet,5.0
459-09-3377,B,Yangon,Normal,Male,Home and lifestyle,70.2,3,10.53,221.13,10/22/2025,21:48,Ewallet,4.5
955-74-8114,C,Mandalay,Member,Female,Home and lifestyle,41.27,6,12.381,260.001,04/02/2025,23:05,Credit card,7.9
729-75-2258,A,Mandalay,Normal,Female,Home and lifestyle,71.43,7,25.0005,525.0105,04/28/2025,05:26,Ewallet,8.9
487-18-1372,C,Naypyitaw,Member,Female,Home and lifestyle,96.31,5,24.0775,505.6275,12/13/2025,07:39,Ewallet,7.1
770-34-1960,A,Naypyitaw,Normal,Male,Sports and travel,46.73,5,11.6825,245.3325,07/29/2025,17:45,Ewallet,5.7
564-09-5758,B,Mandalay,Normal,Male,Sports and travel,25.57,10,12.785,268.485,02/03/2026,06:31,Cash,8.9
050-51-4963,A,Naypyitaw,Normal,Female,Health and beauty,23.09,3,3.4635,72.7335,08/08/2025,09:49,Cash,5.5
223-33-1165,A,Mandalay,Member,Female,Fashion accessories,94.89,9,42.7005,896.7105,10/14/2025,10:54,Ewallet,7.7
001-59-6569,C,Mandalay,Member,Male,Health and beauty,76.44,1,3.822,80.262,06/05/2025,00:05,Ewallet,7.2
751-33-3510,C,Naypyitaw,Normal,Female,Sports and travel,31.54,10,15.77,331.17,03/05/2025,21:32,Credit card,9.7
758-03-6486,C,Yangon,Normal,Male,Electronic accessories,66.21,6,19.863,417.123,03/22/2025,08:30,Ewallet,9.9
735-58-7381,A,Yangon,Normal,Male,Food and beverages,80.49,6,24.147,507.087,04/08/2025,17:52,Credit card,5.4
778-43-3733,A,Mandalay,Normal,Male,Home and lifestyle,37.29,5,9.3225,195.7725,12/30/2025,19:49,Credit card,5.2
213-49-2234,C,Mandalay,Normal,Female,Sports and travel,51.43,4,10.286,216.006,11/30/2025,19:51,Cash,6.4
596-52-9122,A,Yangon,Normal,Female,Food and beverages,23.54,6,7.062,148.302,10/26/2025,10:01,Credit card,5.3
349-68-1176,C,Yangon,Normal,Female,Fashion accessories,68.76,6,20.628,433.188,06/29/2025,02:00,Credit card,9.3
166-90-4810,B,Naypyitaw,Normal,Female,Food and beverages,83.49,2,8.349,175.329,09/05/2025,05:27,Cash,9.0
826-15-6183,B,Mandalay,Member,Female,Food and beverages,96.9,4,19.38,406.98,03/16/2025,09:41,Ewallet,4.8
945-91-4262,B,Yangon,Member,Female,Food and beverages,46.56,5,11.64,244.44,11/05/2025,09:59,Credit card,4.4
159-23-4781,C,Mandalay,Normal,Male,Electronic accessories,83.73,9,37.6785,791.2485,10/10/2025,01:37,Cash,9.1
381-84-3623,A,Mandalay,Normal,Male,Food and beverages,85.13,9,38.3085,804.4785,07/01/2025,20:25,Credit card,5.7
777-13-3510,A,Mandalay,Normal,Male,Fashion accessories,48.33,8,19.332,405.972,08/10/2025,10:41,Credit card,4.9
446-05-6742,A,Naypyitaw,Normal,Male,Health and beauty,18.91,5,4.7275,99.2775,09/08/2025,02:24,Ewallet,4.0
635-61-5209,C,Naypyitaw,Normal,Female,Fashion accessories,20.29,8,8.116,170.436,09/05/2025,08:41,Ewallet,7.6
647-28-2626,B,Yangon,Normal,Female,Health and beauty,76.37,10,38.185,801.885,09/30/2025,12:57,Ewallet,5.6
592-82-5370,B,Naypyitaw,Member,Male,Health and beauty,77.89,10,38.945,817.845,08/06/2025,14:07,Cash,8.5
541-71-4490,B,Yangon,Member,Female,Fashion accessories,45.79,6,13.737,288.477,03/03/2025,18:46,Cash,4.9
079-85-3728,B,Naypyitaw,Member,Female,Food and beverages,50.39,9,22.6755,476.1855,03/28/2025,01:29,Ewallet,5.9
969-81-4325,B,Naypyitaw,Member,Male,Health and beauty,71.71,6,21.513,451.773,01/19/2026,23:53,Ewallet,9.6
656-55-5877,A,Naypyitaw,Normal,Male,Sports and travel,49.86,6,14.958,314.118,08/10/2025,20:22,Credit card,4.7
328-75-5687,B,Mandalay,Normal,Female,Food and beverages,62.97,2,6.297,132.237,01/08/2026,05:24,Ewallet,8.7
060-88-0860,A,Naypyitaw,Member,Male,Sports and travel,58.91,4,11.782,247.422,03/07/2025,19:01,Cash,8.5
912-60-0728,B,Naypyitaw,Member,Male,Sports and travel,31.27,8,12.508,262.668,04/08/2025,21:35,Credit card,9.3
709-10-1571,A,Yangon,Normal,Male,Health and beauty,25.03,3,3.7545,78.8445,03/03/2025,06:26,Ewallet,5.4
467-92-1886,C,Mandalay,Member,Female,Health and beauty,67.48,9,30.366,637.686,12/09/2025,15:48,Ewallet,6.8
472-90-6947,B,Mandalay,Member,Male,Food and beverages,82.65,10,41.325,867.825,07/16/2025,10:28,Credit card,8.8
379-35-1256,B,Naypyitaw,Member,Female,Electronic accessories,82.31,2,8.231,172.851,12/26/2025,03:52,Credit card,7.6
322-16-2747,B,Mandalay,Normal,Male,Health and beauty,62.27,9,28.0215,588.4515,02/25/2025,05:20,Cash,4.8
962-76-3140,C,Naypyitaw,Normal,Female,Home and lifestyle,10.73,8,4.292,90.132,06/08/2025,11:27,Credit card,7.8
088-27-8069,B,Naypyitaw,Member,Female,Fashion accessories,92.98,3,13.947,292.887,03/01/2025,03:28,Credit card,9.6
661-24-4920,A,Yangon,Member,Female,Home and lifestyle,92.63,6,27.789,583.569,11/30/2025,03:19,Credit card,4.9
392-27-1554,A,Naypyitaw,Normal,Male,Health and beauty,37.43,7,13.1005,275.1105,05/16/2025,20:44,Ewallet,9.8
054-30-8517,C,Naypyitaw,Normal,Male,Home and lifestyle,40.63,4,8.126,170.646,05/25/2025,16:38,Cash,8.8
463-01-3982,A,Yangon,Member,Male,Home and lifestyle,30.83,8,12.332,258.972,10/28/2025,10:29,Ewallet,4.5
487-16-7034,B,Yangon,Normal,Female,Electronic accessories,44.24,7,15.484,325.164,11/17/2025,12:22,Ewallet,8.7
403-39-4228,B,Naypyitaw,Member,Female,Electronic accessories,93.72,5,23.43,492.03,10/27/2025,21:47,Ewallet,7.7
251-36-9375,B,Mandalay,Member,Female,Fashion accessories,65.81,2,6.581,138.201,07/27/2025,20:31,Credit card,10.0
647-38-9901,B,Mandalay,Normal,Female,Sports and travel,88.66,6,26.598,558.558,03/15/2025,16:42,Ewallet,5.1
612-24-5591,C,Naypyitaw,Normal,Female,Food and beverages,38.77,1,1.9385,40.7085,10/08/2025,13:25,Cash,8.2
239-20-7165,C,Yangon,Normal,Female,Electronic accessories,85.84,3,12.876,270.396,04/17/2025,13:46,Ewallet,4.7
620-69-7259,A,Yangon,Normal,Male,Health and beauty,99.3,2,9.93,208.53,03/05/2025,14:39,Credit card,6.6
069-96-3057,A,Mandalay,Normal,Male,Health and beauty,90.16,5,22.54,473.34,11/13/2025,12:29,Credit card,4.1
919-17-5816,A,Naypyitaw,Member,Male,Food and beverages,57.02,3,8.553,179.613,01/23/2026,21:54,Ewallet,5.7
985-52-9578,C,Yangon,Member,Male,Health and beauty,69.13,3,10.3695,217.7595,10/25/2025,15:34,Ewallet,5.2
242-28-6176,B,Naypyitaw,Member,Female,Fashion accessories,95.39,9,42.9255,901.4355,04/05/2025,09:28,Credit card,8.2
279-68-2169,A,Mandalay,Member,Female,Electronic accessories,52.17,1,2.6085,54.7785,01/22/2026,02:04,Credit card,5.6
116-26-6558,A,Yangon,Member,Female,Food and beverages,97.09,10,48.545,1019.445,01/18/2026,08:23,Credit card,7.1
644-95-5460,C,Yangon,Member,Male,Food and beverages,59.71,10,29.855,626.955,12/26/2025,05:19,Cash,8.8
678-85-6602,A,Mandalay,Normal,Female,Home and lifestyle,28.88,7,10.108,212.268,06/26/2025,11:21,Ewallet,8.8
556-42-5693,A,Yangon,Member,Female,Health and beauty,59.95,5,14.9875,314.7375,06/18/2025,18:21,Cash,7.4
173-90-1942,A,Yangon,Normal,Male,Electronic accessories,58.66,9,26.397,554.337,06/25/2025,16:22,Cash,4.5
968-40-3389,C,Mandalay,Normal,Female,Home and lifestyle,98.79,2,9.879,207.459,08/02/2025,23:30,Credit card,4.6
735-45-3867,B,Naypyitaw,Normal,Female,Health and beauty,82.86,8,33.144,696.024,10/31/2025,14:58,Ewallet,8.2
629-80-6901,A,Naypyitaw,Member,Male,Fashion accessories,54.35,3,8.1525,171.2025,02/11/2025,02:03,Ewallet,6.4
136-51-1392,C,Mandalay,Member,Female,Home and lifestyle,32.78,8,13.112,275.352,06/08/2025,05:46,Credit card,4.3
763-20-2413,C,Naypyitaw,Member,Female,Sports and travel,48.7,2,4.87,102.27,05/16/2025,20:21,Cash,8.0
823-86-9562,B,Mandalay,Member,Male,Home and lifestyle,50.67,6,15.201,319.221,04/29/2025,19:52,Cash,7.6
390-03-7048,C,Yangon,Normal,Male,Food and beverages,50.6,10,25.3,531.3,04/11/2025,10:52,Ewallet,6.2
716-50-1089,C,Mandalay,Normal,Female,Health and beauty,80.06,5,20.015,420.315,10/17/2025,18:31,Ewallet,4.7
275-07-3580,A,Yangon,Member,Male,Fashion accessories,92.03,7,32.2105,676.4205,08/20/2025,03:06,Ewallet,9.3
498-82-0875,A,Mandalay,Normal,Male,Home and lifestyle,64.89,6,19.467,408.807,01/09/2026,10:14,Ewallet,9.8
225-87-2895,B,Naypyitaw,Member,Male,Sports and travel,80.69,7,28.2415,593.0715,02/14/2025,06:17,Credit card,8.4
953-10-8033,C,Mandalay,Member,Female,Food and beverages,28.09,9,12.6405,265.4505,07/05/2025,14:39,Ewallet,6.6
158-04-5161,A,Naypyitaw,Normal,Female,Food and beverages,25.38,9,11.421,239.841,07/28/2025,02:53,Credit card,9.5
379-67-3667,C,Naypyitaw,Member,Male,Sports and travel,85.41,8,34.164,717.444,12/19/2025,15:26,Ewallet,8.2
091-44-5588,B,Naypyitaw,Member,Male,Health and beauty,71.92,9,32.364,679.644,11/01/2025,11:49,Credit card,5.1
091-70-8250,C,Naypyitaw,Normal,Female,Sports and travel,92.67,1,4.6335,97.3035,09/06/2025,10:38,Cash,5.0
390-33-9210,C,Naypyitaw,Member,Female,Food and beverages,30.07,8,12.028,252.588,09/30/2025,05:07,Cash,9.5
342-08-6052,B,Naypyitaw,Normal,Male,Health and beauty,51.4,7,17.99,377.79,10/16/2025,13:36,Credit card,4.9
132-76-7040,C,Yangon,Normal,Female,Food and beverages,17.14,4,3.428,71.988,09/24/2025,23:10,Credit card,4.2
704-78-3821,A,Naypyitaw,Member,Male,Food and beverages,37.13,8,14.852,311.892,06/01/2025,23:16,Ewallet,6.5
692-91-9482,B,Naypyitaw,Member,Female,Sports and travel,76.62,5,19.155,402.255,03/16/2025,12:58,Ewallet,5.2
138-90-6186,C,Naypyitaw,Normal,Female,Food and beverages,86.14,8,34.456,723.576,07/27/2025,18:31,Credit card,6.3
739-07-0255,C,Naypyitaw,Normal,Male,Electronic accessories,68.38,3,10.257,215.397,12/01/2025,17:28,Cash,6.2
383-67-8589,B,Yangon,Member,Male,Sports and travel,10.84,10,5.42,113.82,08/21/2025,18:44,Cash,7.1
793-07-4161,C,Naypyitaw,Normal,Male,Food and beverages,44.37,9,19.9665,419.2965,02/22/2025,06:17,Cash,6.8
921-52-0894,A,Yangon,Member,Male,Sports and travel,81.42,7,28.497,598.437,04/18/2025,23:45,Ewallet,6.9
974-17-0174,A,Mandalay,Member,Female,Sports and travel,71.11,10,35.555,746.655,09/24/2025,07:27,Ewallet,5.8
807-58-2673,A,Naypyitaw,Member,Female,Electronic accessories,97.55,9,43.8975,921.8475,05/02/2025,10:25,Ewallet,9.6
046-81-6101,C,Yangon,Member,Female,Sports and travel,93.13,4,18.626,391.146,02/11/2025,14:40,Ewallet,4.9
987-00-7382,C,Mandalay,Normal,Male,Sports and travel,90.85,9,40.8825,858.5325,08/23/2025,16:16,Cash,5.7
022-22-5304,A,Mandalay,Normal,Male,Electronic accessories,31.65,10,15.825,332.325,01/26/2026,03:19,Cash,8.7
672-18-5007,B,Mandalay,Normal,Female,Electronic accessories,68.68,7,24.038,504.798,10/03/2025,22:30,Ewallet,9.8
960-17-6963,C,Mandalay,Member,Female,Health and beauty,90.37,7,31.6295,664.2195,04/11/2025,17:30,Cash,9.8
040-15-2304,B,Naypyitaw,Normal,Female,Health and beauty,16.49,6,4.947,103.887,06/13/2025,18:38,Cash,7.5
610-60-4127,A,Naypyitaw,Normal,Female,Electronic accessories,92.25,10,46.125,968.625,12/07/2025,16:23,Ewallet,4.0
812-61-5027,A,Mandalay,Member,Female,Electronic accessories,35.39,7,12.3865,260.1165,06/10/2025,17:27,Credit card,5.0
122-13-3533,A,Mandalay,Member,Male,Electronic accessories,17.09,1,0.8545,17.9445,10/18/2025,21:35,Cash,5.0
346-84-4246,C,Naypyitaw,Normal,Male,Home and lifestyle,89.57,6,26.871,564.291,01/10/2026,22:14,Ewallet,8.6
842-05-9185,C,Naypyitaw,Normal,Female,Home and lifestyle,91.21,5,22.8025,478.8525,03/04/2025,21:59,Ewallet,7.7
883-62-0586,C,Yangon,Normal,Male,Sports and travel,25.7,8,10.28,215.88,06/09/2025,12:49,Ewallet,9.1
930-63-3461,C,Naypyitaw,Member,Female,Health and beauty,95.3,1,4.765,100.065,01/20/2026,06:28,Credit card,7.4
863-97-0557,A,Yangon,Member,Female,Food and beverages,41.78,3,6.267,131.607,11/14/2025,14:00,Credit card,7.6
779-59-0073,C,Yangon,Member,Female,Fashion accessories,62.98,5,15.745,330.645,11/23/2025,16:36,Credit card,5.7
333-22-2004,C,Naypyitaw,Normal,Female,Food and beverages,39.09,8,15.636,328.356,10/23/2025,20:46,Credit card,6.4
124-13-9085,C,Naypyitaw,Normal,Female,Home and lifestyle,75.46,6,22.638,475.398,05/23/2025,08:36,Ewallet,7.8
347-59-5159,B,Mandalay,Member,Male,Food and beverages,91.75,4,18.35,385.35,11/08/2025,20:40,Cash,7.2
067-44-9964,A,Yangon,Normal,Male,Health and beauty,61.11,8,24.444,513.324,11/08/2025,13:22,Cash,5.9
788-60-5717,A,Mandalay,Normal,Female,Sports and travel,80.14,8,32.056,673.176,03/26/2025,16:12,Ewallet,8.1
476-86-8473,A,Mandalay,Normal,Female,Sports and travel,35.34,6,10.602,222.642,08/18/2025,17:44,Ewallet,7.9
672-28-1117,B,Yangon,Member,Male,Electronic accessories,57.65,2,5.765,121.065,07/12/2025,07:33,Ewallet,9.1
907-55-5373,A,Mandalay,Normal,Male,Fashion accessories,23.22,3,3.483,73.143,12/02/2025,19:20,Credit card,5.1
290-67-2104,A,Naypyitaw,Member,Male,Home and lifestyle,78.69,1,3.9345,82.6245,09/23/2025,11:38,Credit card,8.0
578-70-4908,C,Mandalay,Normal,Male,Electronic accessories,24.59,1,1.2295,25.8195,05/13/2025,08:13,Ewallet,6.1
156-93-9317,B,Yangon,Member,Female,Health and beauty,45.0,9,20.25,425.25,08/21/2025,11:28,Credit card,4.4
171-58-7045,C,Mandalay,Member,Male,Health and beauty,58.37,2,5.837,122.577,06/02/2025,03:48,Credit card,8.1
600-63-3131,A,Yangon,Normal,Female,Food and beverages,64.11,5,16.0275,336.5775,05/11/2025,11:49,Credit card,5.4
009-38-4671,A,Yangon,Member,Male,Home and lifestyle,56.52,10,28.26,593.46,04/08/2025,22:30,Cash,5.9
672-15-7170,C,Naypyitaw,Member,Male,Sports and travel,18.64,8,7.456,156.576,09/18/2025,21:42,Cash,9.7
439-95-5267,C,Mandalay,Member,Female,Fashion accessories,73.07,5,18.2675,383.6175,08/26/2025,15:00,Credit card,8.3
656-47-4677,A,Mandalay,Member,Male,Sports and travel,62.44,1,3.122,65.562,01/20/2026,13:01,Ewallet,5.0
353-78-2986,B,Yangon,Member,Male,Electronic accessories,59.95,2,5.995,125.895,01/05/2026,08:11,Cash,8.4
323-02-1351,A,Mandalay,Member,Female,Fashion accessories,42.92,1,2.146,45.066,08/02/2025,19:37,Cash,5.3
905-40-8751,A,Naypyitaw,Member,Female,Health and beauty,58.77,9,26.4465,555.3765,03/03/2025,01:44,Credit card,7.5
793-23-2034,B,Yangon,Member,Female,Food and beverages,43.62,7,15.267,320.607,11/05/2025,13:53,Ewallet,8.3
418-33-9076,B,Mandalay,Normal,Male,Electronic accessories,28.19,2,2.819,59.199,07/19/2025,18:21,Cash,8.0
337-16-0923,A,Mandalay,Normal,Female,Electronic accessories,17.25,8,6.9,144.9,05/07/2025,10:19,Cash,8.0
145-80-3768,A,Mandalay,Member,Female,Food and beverages,51.85,2,5.185,108.885,02/27/2025,08:06,Cash,9.4
138-94-5518,B,Mandalay,Member,Female,Health and beauty,15.74,9,7.083,148.743,09/30/2025,09:46,Credit card,5.2
692-03-8087,C,Yangon,Member,Male,Home and lifestyle,59.69,6,17.907,376.047,08/14/2025,05:05,Credit card,5.1
